iter,h,r,c,a
738,324,17,20,7356
739,324,17,20,7369
740,324,17,20,7378
741,325,17,21,7397
742,325,17,21,7413
743,326,17,21,7436
744,326,17,21,7454
745,328,17,21,7458
746,331,17,21,7474
747,333,17,21,7482
748,331,17,21,7496
749,334,17,21,7500
750,335,17,21,7529
751,334,17,21,7551
752,337,17,21,7570
753,339,17,21,7579
754,345,17,21,7585
755,346,17,21,7586
756,347,17,21,7596
757,346,17,21,7610
758,351,17,21,7610
759,354,17,21,7618
760,355,17,22,7630
761,356,17,23,7643
762,357,17,23,7657
763,358,17,23,7681
764,358,17,23,7691
765,360,17,23,7691
766,359,17,23,7701
767,360,17,23,7712
768,361,16,23,7728
769,364,16,23,7748
770,365,16,24,7760
771,371,16,24,7781
772,375,15,24,7795
773,375,14,24,7815
774,375,13,24,7831
775,376,13,24,7827
776,376,13,24,7836
777,378,13,24,7833
778,378,13,24,7838
779,380,13,24,7857
780,382,13,24,7866
781,382,13,24,7881
782,386,13,25,7894
783,385,13,25,7899
784,385,13,25,7900
785,385,13,25,7906
786,385,13,26,7933
787,384,12,25,7945
788,384,12,25,7950
789,387,12,25,7976
790,388,12,25,7992
791,394,12,25,8010
792,394,12,25,8019
793,395,12,25,8035
794,395,12,25,8049
795,397,12,25,8057
796,398,12,26,8065
797,398,12,26,8066
798,400,12,26,8070
799,399,12,26,8074
800,400,12,26,8098
801,401,12,26,8103
802,404,12,26,8105
803,404,12,26,8126
804,403,12,26,8136
805,405,12,26,8148
806,404,12,26,8159
807,408,12,26,8167
808,408,12,26,8187
809,409,13,26,8196
810,409,13,26,8207
811,415,13,26,8225
812,415,13,26,8234
813,417,13,26,8237
814,420,13,26,8243
815,420,13,26,8264
816,419,13,28,8284
817,422,13,28,8323
818,422,13,28,8346
819,424,13,28,8360
820,422,13,28,8392
821,422,13,28,8402
822,424,13,29,8423
823,424,13,29,8445
824,420,13,29,8448
825,420,13,29,8462
826,419,13,29,8469
827,418,13,29,8469
828,417,13,29,8482
829,418,13,29,8496
830,420,13,29,8507
831,420,13,29,8511
832,422,13,30,8545
833,424,13,29,8570
834,426,13,29,8583
835,427,13,29,8591
836,431,13,29,8604
837,431,13,29,8631
838,435,13,29,8635
839,438,13,29,8671
840,439,13,29,8698
841,441,13,29,8720
842,440,13,30,8744
843,442,13,30,8767
844,444,13,31,8785
845,445,13,31,8828
846,446,13,30,8827
847,448,13,30,8843
848,447,13,30,8858
849,448,13,30,8870
850,449,13,30,8882
851,450,13,31,8905
852,448,13,31,8914
853,451,13,31,8930
854,453,13,31,8959
855,455,13,31,8994
856,455,13,31,9017
857,459,13,31,9027
858,461,13,31,9052
859,465,13,31,9077
860,467,13,31,9102
861,467,13,31,9126
862,468,13,31,9156
863,464,13,31,9170
864,465,13,31,9186
865,465,13,31,9191
866,467,13,31,9198
867,468,13,31,9211
868,469,13,31,9225
869,471,13,31,9242
870,470,13,31,9250
871,470,13,32,9281
872,470,13,32,9299
873,471,13,32,9320
874,472,13,32,9355
875,474,13,32,9370
876,474,13,32,9385
877,476,13,32,9405
878,475,13,32,9422
879,475,14,34,9437
880,473,14,34,9457
881,473,14,34,9465
882,472,15,34,9489
883,474,15,34,9497
884,476,15,34,9507
885,477,15,34,9527
886,478,15,34,9547
887,476,15,34,9564
888,477,15,34,9582
889,479,15,34,9588
890,481,15,34,9607
891,479,16,34,9625
892,481,16,34,9626
893,480,16,34,9637
894,480,15,34,9638
895,481,15,34,9657
896,482,15,34,9668
897,482,15,34,9680
898,484,15,34,9690
899,485,15,36,9694
900,486,15,36,9709
901,487,15,36,9711
902,488,15,36,9730
903,489,15,36,9744
904,493,15,37,9749
905,494,15,37,9764
906,491,15,40,9787
907,496,15,40,9794
908,498,15,40,9816
909,497,15,40,9822
910,496,15,40,9831
911,499,15,40,9851
912,499,15,40,9861
913,495,15,40,9868
914,494,15,40,9886
915,496,15,40,9909
916,497,15,40,9932
917,499,15,40,9920
918,500,15,40,9932
919,501,15,40,9948
920,498,15,40,9951
921,502,15,40,9965
922,505,15,40,9987
923,504,15,40,9996
924,506,15,40,10006
925,507,15,41,10025
926,507,15,40,10031
927,505,15,40,10040
928,508,15,41,10056
929,508,15,41,10070
930,509,15,42,10084
931,510,15,41,10090
932,507,15,41,10100
933,507,15,41,10117
934,508,15,40,10137
935,508,15,40,10148
936,508,15,42,10158
937,509,15,42,10163
938,510,15,42,10166
939,514,15,42,10169
940,514,15,42,10175
941,515,15,42,10178
942,518,15,42,10196
943,519,15,42,10204
944,522,15,42,10222
945,523,15,43,10234
946,524,15,44,10243
947,526,15,44,10259
948,526,15,44,10254
949,527,15,44,10264
950,527,15,44,10272
951,528,15,44,10267
952,525,15,44,10285
953,527,15,44,10291
954,528,15,45,10299
955,527,15,45,10300
956,526,15,45,10308
957,529,16,46,10315
958,529,16,47,10337
959,529,16,47,10341
960,529,14,48,10344
961,529,14,48,10352
962,527,14,50,10349
963,528,15,50,10348
964,528,14,50,10351
965,534,13,50,10365
966,536,13,50,10368
967,536,14,50,10374
968,536,14,52,10372
969,537,14,52,10373
970,540,15,52,10378
971,538,15,52,10390
972,538,15,52,10396
973,540,15,52,10390
974,539,15,52,10406
975,538,15,52,10405
976,540,15,52,10402
977,539,15,52,10402
978,538,15,52,10412
979,536,15,52,10430
980,535,15,52,10435
981,536,15,52,10440
982,536,14,52,10445
983,533,14,52,10452
984,534,13,52,10442
985,535,13,52,10441
986,535,13,52,10452
987,536,13,52,10453
988,536,13,53,10459
989,538,13,53,10466
990,539,13,53,10473
991,538,13,54,10476
